name,broad_type,cluster_status,ra,dec,lii,bii,core_radius,central_radius,cluster_radius,num_core_stars,num_central_stars,num_cluster_stars,distance,e_bv,log_age,log_age_error,reference_code,cluster_type,metallicity,metallicity_error,class
NGC 6440,g,o,267.219,-20.36,7.729,3.802,0.04,0.085,0.15,27,130,364,8492,1.072,10.05,,HARR,glo,-0.36,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
King 10,,,343.755,59.17,108.497,-0.399,0.02,0.07,0.205,20,93,364,2750,1.249,7.825,,DIAS,,,,OPEN STAR CLUSTER
ASCC 129,,,352.027,55.613,111.293,-5.364,0.02,0.09,0.26,3,54,363,2000,0.3,9.05,,COCD,,,,OPEN STAR CLUSTER
Ruprecht 94,,,172.635,-63.48,294.047,-2.012,0.035,0.12,0.23,14,118,360,2932,0.51,7,,COCD,,,,OPEN STAR CLUSTER
Collinder 272,,,202.583,-61.335,307.58,1.185,0.03,0.115,0.205,11,121,359,2095,0.604,7.02,,COCD,,,,OPEN STAR CLUSTER
Alessi 9,,,266.295,-47.185,344.243,-9.326,0.05,0.615,0.89,3,179,359,218,0.104,8.55,,COCD,,-0.58,0.09,OPEN STAR CLUSTER
NGC 2301,,,102.945,0.465,212.557,0.288,0.035,0.17,0.26,14,210,357,805,0.062,8.35,,COCD,,0.06,0.06,OPEN STAR CLUSTER
ASCC 47,,,127.947,-39.055,258.24,0.328,0.02,0.155,0.28,3,101,357,780,0.125,7.88,,COCD,,,,OPEN STAR CLUSTER
Loden 2313,,,235.238,-52.46,327.2,2.237,0.025,0.1,0.185,7,114,357,1076,0.281,8.29,,COCD,,,,OPEN STAR CLUSTER
Collinder 33,n,o,44.816,60.3,138.138,1.258,0.015,0.09,0.24,2,37,355,1100,0.35,8.347,,COCD,,,,NEBULA
NGC 5381,,,210.165,-59.605,311.594,2.098,0.02,0.105,0.16,6,173,354,1949,0.625,8.65,,DIAS,,,,OPEN STAR CLUSTER
Mon OB3,a,o,104.655,-4.335,217.608,-0.382,0.03,0.14,0.26,2,107,351,2120,0.833,7.94,,MELN,ass,,,OB ASSOCIATION/HII REGION
NGC 7380,n,o,341.835,58.095,107.123,-0.916,0.015,0.1,0.26,3,62,350,1800,0.6,7.25,,COCD,,,,NEBULA
ASCC 50,,,132.593,-41.72,262.514,1.49,0.035,0.13,0.25,9,96,349,846,0.229,7.8,,COCD,,,,OPEN STAR CLUSTER
ASCC 8,,,35.19,59.69,133.99,-1.25,0.04,0.115,0.24,17,87,346,1801,0.6,7.77,,COCD,,,,OPEN STAR CLUSTER
Berkeley 53,,,313.988,51.06,90.305,3.756,0.07,0.125,0.25,111,210,346,3301,1.52,9.09,0.01,DIAS,,,,OPEN STAR CLUSTER
PTB 9,,,357.502,68.033,117.217,5.845,0.04,0.15,0.295,33,155,343,850,0.7,9.07,0.02,BIEM,irc,,,OPEN STAR CLUSTER
Alessi 6,,,220.132,-66.12,313.673,-5.55,0.02,0.235,0.39,2,127,340,613,0.189,8.32,,COCD,,-0.154,0.08,OPEN STAR CLUSTER
ASCC 39,,,113.317,-22.95,237.983,-1.664,0.02,0.15,0.26,5,130,339,1609,0.208,8.71,,COCD,,,,OPEN STAR CLUSTER
NGC 6388,g,o,264.072,-44.736,345.556,-6.738,0.05,0.14,0.22,2,136,336,9889,0.371,10.05,,HARR,glo,-0.55,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
ASCC 67,,,175.365,-61.01,294.554,0.718,0.025,0.11,0.22,6,82,335,1500,0.3,7.67,,COCD,,,,OPEN STAR CLUSTER
Ruprecht 167,r,c,214.593,-58.988,313.937,2.014,0.02,0.13,0.2,7,140,335,1609,0.521,7.245,,COCD,,,,OPEN STAR CLUSTER
NGC 6749,g,o,286.314,1.9,36.2,-2.205,0.035,0.085,0.165,21,129,335,7902,1.499,10,,HARR,glo,-1.6,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 6871,,,301.5,35.77,72.641,2.048,0.03,0.155,0.26,11,161,335,1791,0.416,6.99,,COCD,,,,OPEN STAR CLUSTER
Czernik 38,,,282.447,4.96,37.162,2.625,0.02,0.11,0.165,13,170,334,1763,1.457,7.3,,DIAS,,,,OPEN STAR CLUSTER
Melotte 71,,,114.39,-12.055,228.946,4.516,0.02,0.24,0.34,8,237,330,2473,0.104,8.975,,COCD,,-0.22,0.1,OPEN STAR CLUSTER
Platais 10,,,205.29,-59.225,309.264,3.034,0.05,0.525,1,5,86,329,246,0.079,8.34,,COCD,,,,OPEN STAR CLUSTER
NGC 2671,,,131.553,-41.867,262.14,0.796,0.01,0.085,0.185,5,108,328,1309,0.979,8.53,,DIAS,,,,OPEN STAR CLUSTER
Lynga 4,,,233.333,-55.24,324.653,0.652,0.035,0.1,0.195,23,105,327,1369,1.301,8.55,,DIAS,,,,OPEN STAR CLUSTER
ASCC 109,,,298.522,34.545,70.318,3.477,0.025,0.175,0.34,5,99,326,479,0,8.125,,COCD,,,,OPEN STAR CLUSTER
Berkeley 51,,,302.974,34.41,72.154,0.296,0.025,0.09,0.18,16,101,326,3292,1.874,8.255,,DIAS,,,,OPEN STAR CLUSTER
Roslund 7,,,313.095,37.9,79.807,-4.217,0.035,0.145,0.28,8,95,326,736,0.2,8.6,0.072,COCD,,,,OPEN STAR CLUSTER
NGC 2194,,,93.442,12.818,197.243,-2.34,0.035,0.145,0.24,20,173,325,2804,0.5,8.8,0.02,DIAS,,,,OPEN STAR CLUSTER
IC 4651,,,261.225,-49.935,340.094,-7.919,0.02,0.16,0.24,6,183,325,888,0.121,9.25,,COCD,,-0.128,0.082,OPEN STAR CLUSTER
NGC 457,,,19.905,58.28,126.64,-4.389,0.055,0.13,0.22,40,153,321,2400,0.4,7.38,,COCD,,,,OPEN STAR CLUSTER
Collinder 258,a,c,186.81,-60.775,299.981,1.958,0.02,0.1,0.195,4,96,318,1278,0.208,8.35,,COCD,,,,OB ASSOCIATION/HII REGION
NGC 6402,g,o,264.401,-3.246,21.324,14.805,0.06,0.165,0.3,37,144,318,9298,0.6,10.1,,HARR,glo,-1.145,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
ASCC 56,,,152.077,-64.38,286.404,-6.878,0.04,0.235,0.32,9,165,317,797,0.135,8.635,0.05,COCD,,,,OPEN STAR CLUSTER
NGC 5749,,,222.195,-54.485,319.521,4.563,0.015,0.12,0.21,4,112,317,1014,0.479,8,,COCD,,,,OPEN STAR CLUSTER
SAI 132,,,299.267,31.611,68.126,1.428,0.02,0.08,0.15,14,106,317,2860,0.939,8.75,,DIAS,,,,OPEN STAR CLUSTER
King 5,,,48.693,52.697,143.773,-4.276,0.02,0.14,0.225,9,186,316,2200,0.67,9.09,0.02,DIAS,,-0.3,0.17,OPEN STAR CLUSTER
MWSC 4429,,,278.895,-51.745,343.621,-18.661,0.025,0.155,0.29,4,120,315,2051,0.437,9.045,,AIPk,,,,OPEN STAR CLUSTER
NGC 6397,g,o,265.176,-53.674,338.165,-11.96,0.04,0.255,0.405,31,187,314,2301,0.187,10.05,,HARR,glo,-1.645,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 7142,,,326.303,65.792,105.363,9.494,0.03,0.16,0.26,17,186,313,2200,0.45,9.25,0.021,DIAS,,0.08,0.06,OPEN STAR CLUSTER
FSR 0939,,,92.742,14.396,195.53,-2.181,0.02,0.11,0.24,8,85,312,2397,0.937,8.71,,DIAS,irc,,,OPEN STAR CLUSTER
Ruprecht 105,,,188.475,-61.575,300.846,1.226,0.035,0.115,0.195,11,118,312,1250,0.05,9.1,,COCD,,,,OPEN STAR CLUSTER
ASCC 106,,,295.83,1.62,40.387,-10.765,0.04,0.25,0.52,4,84,311,525,0.312,8.42,,COCD,,,,OPEN STAR CLUSTER
Collinder 62,,,80.577,41.025,167.262,2.563,0.02,0.155,0.235,5,139,309,1472,0.5,8.905,0.037,DIAS,,,,OPEN STAR CLUSTER
NGC 1817,,,78.082,16.68,186.176,-13.086,0.028,0.155,0.26,10,145,306,1504,0.354,8.9,,COCD,,-0.14,0.05,OPEN STAR CLUSTER
FSR 1712,,,238.68,-52.48,328.834,0.922,0.025,0.085,0.17,8,78,306,1137,0.687,8.6,,FPOS,,,,OPEN STAR CLUSTER
NGC 6342,g,o,260.292,-19.587,4.899,9.725,0.025,0.11,0.205,6,104,306,8502,0.458,10,,HARR,glo,-0.55,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Collinder 106,,,99.308,6.07,205.913,-0.379,0.06,0.235,0.51,25,104,304,1581,0.312,6.415,,COCD,,,,OPEN STAR CLUSTER
Loden 694,a,c,193.268,-60.735,303.132,2.136,0.025,0.13,0.25,8,93,303,1527,0.25,7.38,,COCD,,,,OB ASSOCIATION/HII REGION
FSR 0236,,,308.152,41.44,80.254,0.959,0.02,0.083,0.18,10,85,303,901,1.172,8.2,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 2287,,,101.513,-20.745,231.012,-10.433,0.04,0.2,0.44,10,114,302,769,0.062,8.25,,COCD,,0.04,0.02,OPEN STAR CLUSTER
Loden 1256,r,c,214.5,-61.425,313.092,-0.273,0.035,0.115,0.19,9,112,302,1226,0.489,8.58,,COCD,,,,OPEN STAR CLUSTER
ESO 332-08,a,c,253.695,-40.715,344.4,1.794,0.02,0.1,0.18,9,85,300,965,0.239,8.17,,COCD,,,,OB ASSOCIATION/HII REGION
FSR 1434,,,131.37,-45.402,264.82,-1.514,0.012,0.085,0.17,3,93,298,1367,0.625,9.035,0.028,FPRO,,,,OPEN STAR CLUSTER
Melotte 111,,,185.985,26.3,219.058,83.805,0.2,2.51,4.225,2,107,298,87,0,8.84,0.037,COCD,,0.07,0.09,OPEN STAR CLUSTER
NGC 2451A,,,115.335,-38.52,252.504,-7.675,0.07,0.625,1.3,3,67,297,188,0,7.76,,COCD,,-0.531,0.101,OPEN STAR CLUSTER
Collinder 338,,,264.55,-37.7,351.732,-3.304,0.025,0.16,0.275,7,106,297,698,0.25,8.05,,COCD,,,,OPEN STAR CLUSTER
NGC 6216,,,252.338,-44.72,340.673,0.018,0.012,0.07,0.14,5,86,296,3355,1.156,6.7,,DIAS,,,,OPEN STAR CLUSTER
ESO 130-13,,,185.768,-59.665,299.352,3.009,0.02,0.125,0.205,6,130,295,1509,0.333,8.445,,DIAS,non,,,OPEN STAR CLUSTER
FSR 0165,,,299.512,26.755,64.094,-1.288,0.02,0.09,0.145,9,152,295,2628,1.249,6.91,,DIAS,irc,,,OPEN STAR CLUSTER
FSR 0398,,,339.06,64.133,108.831,5.028,0.02,0.09,0.225,5,63,294,1200,0.849,7.7,,FPOS,,,,OPEN STAR CLUSTER
Basel 11B,,,89.562,21.99,187.428,-1.093,0.015,0.085,0.18,4,73,293,1318,0.312,8.98,0.015,COCD,,,,OPEN STAR CLUSTER
NGC 2215,,,95.22,-7.295,216.011,-10.094,0.03,0.14,0.325,9,92,293,1141,0.354,8.55,,COCD,,,,OPEN STAR CLUSTER
NGC 2345,,,107.062,-13.2,226.58,-2.328,0.035,0.115,0.225,22,114,293,2605,0.687,7.9,,COCD,,,,OPEN STAR CLUSTER
Berkeley 43,,,288.877,11.265,45.685,-0.139,0.025,0.105,0.18,21,133,293,1355,1.52,8.785,,DIAS,,0,,OPEN STAR CLUSTER
FSR 0274,,,312.277,47.88,87.143,2.581,0.02,0.09,0.18,10,106,293,2153,1.041,7.8,,DIAS,irc,,,OPEN STAR CLUSTER
Trumpler 10,,,131.873,-42.4,262.704,0.647,0.03,0.22,0.39,8,98,291,417,0.029,7.38,,COCD,,,,OPEN STAR CLUSTER
FSR 0951,,,95.585,14.705,196.566,0.386,0.01,0.1,0.19,3,104,288,1619,0.479,8.7,,FPRO,,,,OPEN STAR CLUSTER
NGC 6656,g,o,279.101,-23.905,9.892,-7.552,0.04,0.21,0.355,6,115,286,3198,0.344,10.1,,HARR,glo,-1.545,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 6067,,,243.3,-54.22,329.746,-2.208,0.03,0.135,0.235,10,121,285,1793,0.412,7.97,,COCD,,0.138,0.06,OPEN STAR CLUSTER
NGC 6249,,,254.4,-44.8,341.537,-1.167,0.025,0.12,0.19,9,125,285,1113,0.521,8.09,0.202,COCD,,,,OPEN STAR CLUSTER
ASCC 3,a,c,7.77,55.275,120.01,-7.481,0.03,0.08,0.24,4,30,284,1550,0.25,7.729,0.033,COCD,,,,OB ASSOCIATION/HII REGION
IC 2581,,,156.9,-57.64,284.613,0.023,0.02,0.1,0.165,4,107,282,2221,0.521,7.32,,COCD,,-0.34,0.06,OPEN STAR CLUSTER
Lynga 5,,,235.475,-56.65,324.789,-1.194,0.02,0.1,0.16,7,126,282,1753,0.874,8.975,,DIAS,,,,OPEN STAR CLUSTER
NGC 6568,,,273.18,-21.6,9.412,-1.646,0.02,0.13,0.266,6,84,282,861,0.385,8.8,0.025,COCD,,,,OPEN STAR CLUSTER
NGC 6192,,,250.088,-43.36,340.648,2.131,0.04,0.125,0.235,34,141,280,1619,0.635,8.15,,COCD,,0.12,0.04,OPEN STAR CLUSTER
NGC 6910,,,305.812,40.795,78.702,2.015,0.02,0.105,0.175,8,125,280,1127,1.041,7.53,0.026,COCD,,,,OPEN STAR CLUSTER
NGC 6709,,,282.846,10.33,42.14,4.702,0.02,0.145,0.22,7,144,279,1075,0.281,8.15,,COCD,,,,OPEN STAR CLUSTER
Ruprecht 172,,,302.955,35.665,73.194,0.998,0.025,0.1,0.15,13,148,279,1803,0.375,9.065,0.025,COCD,,,,OPEN STAR CLUSTER
NGC 7044,,,318.293,42.495,85.893,-4.153,0.035,0.1,0.18,30,131,279,3171,0.604,9.28,,DIAS,,-0.16,0.09,OPEN STAR CLUSTER
ASCC 53,,,144.54,-59.46,280.528,-5.279,0.03,0.155,0.265,13,94,278,1786,0.75,8,,COCD,,,,OPEN STAR CLUSTER
Pismis 2,,,124.491,-41.67,258.861,-3.33,0.02,0.102,0.225,10,84,277,2754,1.291,9.055,,DIAS,,-0.07,0.23,OPEN STAR CLUSTER
Loden 821,,,201.06,-59.81,307.05,2.799,0.02,0.13,0.22,5,121,277,2642,0.437,7.455,,COCD,,-0.099,0.13,OPEN STAR CLUSTER
Pismis 6,,,129.765,-46.235,264.789,-2.908,0.02,0.105,0.18,7,111,276,1668,0.381,7.58,,COCD,,,,OPEN STAR CLUSTER
NGC 6380,g,o,263.616,-39.067,350.183,-3.419,0.03,0.065,0.125,14,76,276,10897,1.176,10.05,,HARR,glo,-0.75,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 7762,,,357.465,68.025,117.201,5.841,0.02,0.125,0.213,11,155,276,780,0.55,9.32,0.019,DIAS,,,,OPEN STAR CLUSTER
Loden 1152,,,209.865,-59.33,311.519,2.403,0.02,0.09,0.145,10,106,275,1711,0.573,8.065,0.092,DIAS,,,,OPEN STAR CLUSTER
IC 4665,,,266.565,5.695,30.594,17.081,0.04,0.41,0.7,2,110,275,352,0.171,7.63,,COCD,,-0.03,0.04,OPEN STAR CLUSTER
NGC 6883,,,302.835,35.83,73.279,1.17,0.01,0.075,0.16,3,59,275,1380,0.3,7.71,0.059,COCD,,,,OPEN STAR CLUSTER
NGC 7086,,,322.613,51.608,94.412,0.226,0.02,0.08,0.14,10,124,275,1600,0.77,8.065,0.131,DIAS,,,,OPEN STAR CLUSTER
NGC 6752,g,o,287.716,-59.985,336.492,-25.628,0.05,0.22,0.42,4,83,274,4002,0.042,10.1,,HARR,glo,-1.25,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 6838,g,o,298.443,18.779,56.745,-4.564,0.03,0.115,0.22,7,88,274,3999,0.25,10.05,,HARR,glo,-0.745,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 1027,,,40.665,61.62,135.747,1.547,0.025,0.13,0.235,5,118,273,950,0.25,8.55,,COCD,,,,OPEN STAR CLUSTER
NGC 5460,a,c,211.89,-48.33,315.768,12.635,0.04,0.22,0.38,5,96,272,652,0.094,8.3,,COCD,,,,OB ASSOCIATION/HII REGION
ASCC 89,a,c,260.835,-62.65,329.04,-14.577,0.075,0.46,0.75,5,108,272,567,0.25,7,,COCD,,-0.134,0.086,OB ASSOCIATION/HII REGION
Collinder 91,,,95.46,2.374,207.424,-5.488,0.02,0.13,0.255,8,89,271,1467,0.521,8.64,0.036,DIAS,,,,OPEN STAR CLUSTER
NGC 2925,,,143.286,-53.371,275.913,-1.238,0.03,0.125,0.27,3,58,270,774,0.079,7.805,,COCD,,,,OPEN STAR CLUSTER
ASCC 81,,,236.692,-50.995,328.808,2.85,0.025,0.1,0.16,7,108,270,850,0.167,8.75,,COCD,,,,OPEN STAR CLUSTER
Stock 10,,,84.81,37.805,171.752,3.534,0.03,0.22,0.415,3,63,269,500,0.079,8.42,,COCD,,,,OPEN STAR CLUSTER
Teutsch 84,,,256.08,-42.07,344.44,-0.45,0.025,0.085,0.16,16,87,269,3411,1.353,8.995,0.016,DIAS,,,,OPEN STAR CLUSTER
Alessi 19,,,274.782,12.195,40.314,12.624,0.03,0.245,0.48,2,65,269,550,0.04,7.9,,COCD,,,,OPEN STAR CLUSTER
ASCC 16,,,81.037,1.64,201.07,-18.521,0.05,0.31,0.66,5,93,267,397,0.021,7,,COCD,ass,,,OPEN STAR CLUSTER
NGC 6802,,,292.651,20.272,55.337,0.917,0.018,0.075,0.155,6,74,267,1775,0.791,8.955,0.022,DIAS,,,,OPEN STAR CLUSTER
Blanco 1,,,0.885,-30,14.842,-79.104,0.5,1.4,2.35,82,214,266,250,0.012,7.75,,COCD,,-0.188,0.098,OPEN STAR CLUSTER
NGC 1513,,,62.425,49.51,152.564,-1.605,0.025,0.085,0.155,14,121,266,1400,0.67,8.5,,DIAS,,,,OPEN STAR CLUSTER
B 35,,,85.921,9.095,196.876,-10.6,0.02,0.235,0.55,1,49,265,612,0.208,8.92,,BIEM,irc,,,OPEN STAR CLUSTER
NGC 2818,n,o,139.05,-36.615,261.998,8.618,0.02,0.115,0.27,3,70,265,2054,0.115,9.16,,DIAS,,-0.17,0.15,NEBULA
Loden 915,,,203.572,-59.295,308.387,3.122,0.03,0.165,0.28,5,90,265,709,0.15,8.445,,COCD,,,,OPEN STAR CLUSTER
FSR 1645,,,200.28,-61.925,306.417,0.746,0.02,0.1,0.17,8,95,264,1278,0.521,8,,DIAS,irc,,,OPEN STAR CLUSTER
Ruprecht 173,,,310.455,35.585,76.67,-4.01,0.018,0.1,0.17,7,82,264,1791,0.729,8.8,,DIAS,dub,,,OPEN STAR CLUSTER
FSR 0333,,,326.79,54.928,98.482,1.054,0.012,0.055,0.15,6,56,262,6001,1.099,8.895,,DIAS,irc,,,OPEN STAR CLUSTER
NGC 7261,,,335.118,58.113,104.065,0.882,0.02,0.115,0.22,3,102,262,2692,0.916,7.5,,DIAS,,,,OPEN STAR CLUSTER
Collinder 89,,,94.8,23.35,188.58,3.794,0.025,0.15,0.26,6,82,260,1021,0.479,7.825,,COCD,,,,OPEN STAR CLUSTER
NGC 6604,,,274.507,-12.238,18.248,1.701,0.025,0.16,0.265,4,103,260,1895,0.968,6.89,,COCD,,,,OPEN STAR CLUSTER
NGC 2420,,,114.596,21.567,198.113,19.631,0.02,0.125,0.305,8,123,259,2880,0.01,9.365,0.016,DIAS,,-0.38,0.07,OPEN STAR CLUSTER
NGC 6760,g,o,287.8,1.03,36.107,-3.925,0.04,0.09,0.19,18,75,259,7400,0.77,9.9,,HARR,glo,-0.4,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Czernik 25,,,93.423,6.953,202.406,-5.143,0.02,0.092,0.205,15,74,258,1861,0.625,8.52,0.044,DIAS,,,,OPEN STAR CLUSTER
NGC 7209,,,331.226,46.552,95.507,-7.262,0.02,0.1,0.23,5,59,258,1250,0.16,8.629,,COCD,,-0.12,,OPEN STAR CLUSTER
ASCC 57,,,152.73,-66.7,287.99,-8.606,0.02,0.15,0.215,4,107,257,1483,0.208,9.26,0.036,COCD,,-0.347,0.097,OPEN STAR CLUSTER
NGC 6266,g,o,255.303,-30.114,353.574,7.318,0.05,0.13,0.21,1,87,256,6805,0.468,10.1,,HARR,glo,-1.045,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
IC 361,,,64.74,58.25,147.515,5.661,0.04,0.12,0.22,36,145,255,3000,0.65,8.982,0.022,DIAS,,,,OPEN STAR CLUSTER
FSR 1666,r,c,207.15,-61.455,309.706,0.663,0.02,0.11,0.195,6,64,255,2677,1.124,8.15,,FPRO,,,,OPEN STAR CLUSTER
NGC 6253,,,254.77,-52.7,335.466,-6.245,0.025,0.1,0.18,12,107,255,1511,0.2,9.7,,DIAS,,0.43,0.01,OPEN STAR CLUSTER
ASCC 7,,,29.775,58.925,131.58,-2.806,0.035,0.09,0.18,17,70,254,2000,0.45,7.4,,COCD,,,,OPEN STAR CLUSTER
IC 1848,,,42.777,60.41,137.191,0.894,0.045,0.16,0.27,33,140,254,1500,0.67,6.85,,COCD,,,,OPEN STAR CLUSTER
NGC 6259,,,255.225,-44.69,341.986,-1.559,0.02,0.1,0.17,6,97,254,1855,0.645,8.475,,DIAS,,0.02,0.09,OPEN STAR CLUSTER
FSR 1460,,,136.912,-47.825,269.134,-0.191,0.018,0.09,0.17,10,101,253,1285,1.041,8.835,0.009,FPRO,,,,OPEN STAR CLUSTER
NGC 6284,g,o,256.11,-24.765,358.342,9.946,0.03,0.11,0.21,4,77,253,15308,0.281,10.05,,HARR,glo,-1.26,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Ruprecht 102,,,183.39,-62.73,298.609,-0.177,0.018,0.1,0.16,9,86,252,1609,0.521,7.5,,DIAS,,,,OPEN STAR CLUSTER
NGC 2252,,,98.625,5.37,206.222,-1.304,0.02,0.11,0.22,3,65,251,900,0.1,8.86,0.02,COCD,,,,OPEN STAR CLUSTER
NGC 5662,a,c,218.895,-56.615,316.934,3.399,0.025,0.135,0.245,4,70,251,625,0.375,8.275,0.09,COCD,,,,OB ASSOCIATION/HII REGION
Roslund 2,,,296.317,23.9,60.164,-0.265,0.018,0.1,0.18,7,73,251,1668,0.899,6.78,,COCD,,,,OPEN STAR CLUSTER
NGC 7175,,,329.767,54.79,99.734,-0.124,0.025,0.075,0.15,11,68,251,2500,0.75,8.821,0.019,DIAS,non,,,OPEN STAR CLUSTER
Trumpler 7,,,111.825,-23.96,238.215,-3.35,0.015,0.09,0.18,5,75,250,1659,0.312,8,0.001,COCD,,,,OPEN STAR CLUSTER
Teutsch 80,,,223.35,-60.485,317.41,-1.088,0.025,0.08,0.145,16,98,249,2352,1.686,7.75,0.141,DIAS,,,,OPEN STAR CLUSTER
ASCC 94,,,273.9,-14.975,15.558,0.921,0.02,0.12,0.27,4,65,249,731,0.25,8.84,0.078,COCD,,,,OPEN STAR CLUSTER
FSR 0253,,,315.877,39.98,82.803,-4.51,0.012,0.083,0.165,2,81,249,1414,0.708,8.275,,FPOS,,,,OPEN STAR CLUSTER
Melotte 101,,,160.567,-65.095,289.868,-5.553,0.035,0.14,0.23,14,132,248,1999,0.448,8.1,0.044,COCD,,,,OPEN STAR CLUSTER
NGC 6569,g,o,273.411,-31.827,0.481,-6.68,0.03,0.075,0.14,7,67,248,10900,0.531,9.95,,HARR,glo,-0.76,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
Berkeley 14,,,74.946,43.485,162.812,0.659,0.02,0.07,0.165,6,63,247,5460,0.354,9.3,,DIAS,,,,OPEN STAR CLUSTER
NGC 3590,,,168.258,-60.775,291.204,-0.164,0.025,0.085,0.165,12,69,247,1660,0.416,7.4,,COCD,,,,OPEN STAR CLUSTER
Dolidze 3,,,303.855,36.815,74.554,1.029,0.02,0.1,0.16,6,107,246,1032,0.562,8.29,0.02,DIAS,,,,OPEN STAR CLUSTER
FSR 0494,,,6.42,63.75,120.088,1.021,0.02,0.095,0.165,9,118,245,5087,0.521,9.3,,DIAS,irc,,,OPEN STAR CLUSTER
ASCC 116,,,329.625,54.49,99.486,-0.312,0.02,0.06,0.14,7,49,244,1500,0.51,7.95,,COCD,,,,OPEN STAR CLUSTER
Berkeley 17,,,80.156,30.59,175.657,-3.65,0.02,0.12,0.22,7,104,243,1800,0.849,9.6,,DIAS,,-0.1,0.09,OPEN STAR CLUSTER
King 4,,,39.023,59.025,136.051,-1.155,0.015,0.09,0.18,4,89,242,2801,0.895,8.205,0.02,DIAS,,,,OPEN STAR CLUSTER
Dolidze 38,,,301.47,41.195,77.222,4.968,0.02,0.1,0.205,5,53,242,1532,0.229,9.165,0.001,COCD,,,,OPEN STAR CLUSTER
NGC 129,,,7.542,60.203,120.29,-2.56,0.02,0.09,0.155,7,93,240,1685,0.541,7.975,,COCD,,,,OPEN STAR CLUSTER
ASCC 69,,,181.575,-69.78,299.023,-7.252,0.025,0.14,0.275,3,71,239,774,0.171,7.91,,COCD,,,,OPEN STAR CLUSTER
ESO 518-03,,,251.775,-25.805,355.071,12.426,0.02,0.13,0.23,5,75,239,1266,0.369,9.17,,DIAS,,,,OPEN STAR CLUSTER
NGC 1996,,,84.547,25.75,181.838,-3.082,0.025,0.1,0.2,7,66,238,2056,1.041,8.515,,COCD,,,,OPEN STAR CLUSTER
ASCC 118,r,c,332.115,61.095,104.491,4.201,0.025,0.085,0.205,5,39,238,1033,0.25,7.87,,COCD,,,,OPEN STAR CLUSTER
NGC 6268,,,255.532,-39.715,346.055,1.313,0.025,0.1,0.185,11,85,237,1105,0.416,8.65,0.042,COCD,,,,OPEN STAR CLUSTER
NGC 6517,g,o,270.461,-8.959,19.225,6.763,0.035,0.08,0.16,25,89,237,10600,1.083,10.1,,HARR,glo,-1.23,,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
NGC 6755,,,286.954,4.267,38.598,-1.688,0.02,0.1,0.195,5,76,237,2010,2.436,8,,DIAS,,,,OPEN STAR CLUSTER
Berkeley 89,,,306.113,46.045,83.14,4.84,0.018,0.08,0.165,8,77,237,2839,0.729,9.2,,DIAS,,,,OPEN STAR CLUSTER
NGC 2244,n,o,97.98,4.94,206.308,-2.072,0.02,0.155,0.365,5,89,236,1532,0.541,6.7,,COCD,,,,NEBULA
vdBergh-Hagen 132,,,186.75,-64.067,300.264,-1.322,0.02,0.1,0.18,8,89,236,1859,0.479,8.45,,DIAS,,,,OPEN STAR CLUSTER
FSR 0496,,,6.675,64.03,120.227,1.288,0.018,0.075,0.17,8,62,235,1123,0.77,9.055,0.049,DIAS,irc,,,OPEN STAR CLUSTER
vdBergh-Hagen 79,,,146.032,-53.325,277.109,-0.115,0.018,0.085,0.17,9,68,235,10270,1.374,8.4,,DIAS,non,,,OPEN STAR CLUSTER
Lynga 12,,,251.512,-50.74,335.714,-3.443,0.025,0.09,0.15,10,96,235,1872,0.833,9.25,,DIAS,,,,OPEN STAR CLUSTER
NGC 659,,,26.093,60.67,129.372,-1.538,0.025,0.07,0.155,23,68,234,2300,0.65,7.762,0.193,COCD,,,,OPEN STAR CLUSTER
Berkeley 12,,,71.108,42.69,161.644,-2.01,0.025,0.1,0.17,16,115,234,3300,0.7,9.6,,DIAS,,0.07,,OPEN STAR CLUSTER
FSR 0900,,,91.615,19.227,190.78,-0.785,0.015,0.08,0.155,5,67,234,3465,0.937,6.61,,DIAS,irc,,,OPEN STAR CLUSTER
Ruprecht 121,,,250.447,-46.15,338.724,0.094,0.025,0.14,0.24,3,98,234,1239,1.041,8.425,,DIAS,,,,OPEN STAR CLUSTER
